segment,mean,median,max
2015-01-24-12,64.91,62.99,199.66
2015-01-24-13,76.77,73.26,204.97
2015-01-24-14,67.66,59.34,213.11
2015-01-24-15,35.49,28.78,110.81
2015-01-24-16,19.08,16.48,92.84
2015-01-24-17,31.34,29.44,81.85
2015-01-24-18,0.00,0.00,0.00
2015-01-24-19,0.00,0.00,0.00
2015-01-24-20,0.00,0.00,0.00
2015-01-24-21,0.00,0.00,0.00
2015-01-24-22,0.00,0.00,0.00
2015-01-24-23,0.00,0.00,0.00
2015-01-25-0,0.00,0.00,0.00
2015-01-25-1,0.00,0.00,0.00
2015-01-25-2,6.70,0.00,31.22
2015-01-25-3,10.61,10.14,199.52
2015-01-25-4,7.25,7.15,23.06
2015-01-25-5,5.99,6.54,21.47
2015-01-25-6,5.25,5.37,21.30
2015-01-25-7,4.36,4.46,21.18
2015-01-25-8,4.99,4.76,21.30
2015-01-25-9,8.47,7.73,29.36
2015-01-25-10,33.90,29.33,161.67
2015-01-25-11,31.49,26.05,88.49
2015-01-25-12,35.86,35.87,78.66
2015-01-25-13,14.06,13.61,35.10
2015-01-25-14,7.22,6.53,40.90
2015-01-25-15,14.95,8.91,75.71
2015-01-25-16,24.93,18.25,107.58
2015-01-25-17,28.61,27.16,112.64
2015-01-25-18,0.00,0.00,0.00
2015-01-25-19,0.00,0.00,0.00
2015-01-25-20,0.00,0.00,0.00
2015-01-25-21,0.00,0.00,0.00
2015-01-25-22,0.00,0.00,0.00
2015-01-25-23,0.00,0.00,0.00
2015-01-26-0,0.00,0.00,0.00
2015-01-26-1,0.00,0.00,0.00
2015-01-26-2,7.38,0.00,32.34
2015-01-26-3,16.22,15.74,54.94
2015-01-26-4,14.38,10.71,246.22
2015-01-26-5,15.82,10.68,78.77
2015-01-26-6,14.50,8.03,70.04
2015-01-26-7,26.42,17.79,91.26
2015-01-26-8,107.66,86.96,249.07
2015-01-26-9,155.49,166.04,249.07
2015-01-26-10,91.80,82.87,242.99
2015-01-26-11,68.54,62.79,202.77
2015-01-26-12,41.29,28.78,182.10
2015-01-26-13,41.14,26.36,244.97
2015-01-26-14,69.84,67.90,197.16
2015-01-26-15,77.31,81.79,165.86
2015-01-26-16,68.00,65.64,172.45
2015-01-26-17,35.03,29.61,134.49
2015-01-26-18,0.00,0.00,0.00
2015-01-26-19,0.00,0.00,0.00
2015-01-26-20,0.00,0.00,0.00
2015-01-26-21,0.00,0.00,0.00
2015-01-26-22,0.00,0.00,0.00
2015-01-26-23,0.00,0.00,0.00
2015-01-27-0,0.00,0.00,0.00
2015-01-27-1,0.00,0.00,0.00
2015-01-27-2,8.02,0.00,43.70
2015-01-27-3,15.17,13.59,96.75
2015-01-27-4,14.85,14.33,90.06
2015-01-27-5,23.84,16.84,248.62
2015-01-27-6,24.42,18.85,206.25
2015-01-27-7,15.76,11.01,147.63
2015-01-27-8,37.03,28.04,198.73
2015-01-27-9,39.03,43.21,180.40
2015-01-27-10,35.67,27.92,243.03
2015-01-27-11,45.50,28.59,226.77
2015-01-27-12,38.71,28.75,164.11
2015-01-27-13,41.99,35.95,105.43
2015-01-27-14,36.73,33.72,97.86
2015-01-27-15,23.26,14.22,95.67
2015-01-27-16,41.59,30.77,125.17
2015-01-27-17,47.88,53.55,151.80
2015-01-27-18,0.00,0.00,0.00
2015-01-27-19,0.00,0.00,0.00
2015-01-27-20,0.00,0.00,0.00
2015-01-27-21,0.00,0.00,0.00
2015-01-27-22,0.00,0.00,0.00
2015-01-27-23,0.00,0.00,0.00
2015-01-28-0,0.00,0.00,0.00
2015-01-28-1,0.00,0.00,0.00
2015-01-28-2,6.65,0.00,42.29
2015-01-28-3,18.94,17.95,137.62
2015-01-28-4,17.68,17.07,85.84
2015-01-28-5,21.15,18.75,146.30
2015-01-28-7,65.47,61.71,242.70
2015-01-28-8,48.11,50.83,188.75
2015-01-28-9,40.94,41.77,190.30
2015-01-28-10,120.19,114.76,249.07
2015-01-28-11,97.36,92.45,216.57
2015-01-28-12,69.06,61.44,187.27
2015-01-28-13,24.72,18.00,80.15
2015-01-28-14,18.87,11.55,64.00
2015-01-28-15,15.94,9.21,61.78
2015-01-28-16,11.35,8.38,53.38
2015-01-28-17,14.57,13.08,84.64
2015-01-28-18,0.00,0.00,0.00
2015-01-28-19,0.00,0.00,0.00
2015-01-28-20,0.00,0.00,0.00
2015-01-28-21,0.00,0.00,0.00
2015-01-28-22,0.00,0.00,0.00
2015-01-28-23,0.00,0.00,0.00
2015-01-29-0,0.00,0.00,0.00
2015-01-29-1,0.00,0.00,0.00
2015-01-29-2,5.52,0.00,32.34
2015-01-29-3,16.33,15.80,31.76
2015-01-29-4,12.41,11.94,31.72
2015-01-29-5,13.16,11.85,32.89
2015-01-29-6,15.15,13.63,248.62
2015-01-29-7,18.23,15.94,248.50
2015-01-29-8,26.89,18.78,214.34
2015-01-29-9,42.02,24.09,237.06
2015-01-29-10,47.54,47.97,139.78
2015-01-29-11,40.71,34.91,93.83
2015-01-29-12,35.48,28.88,131.92
2015-01-29-13,32.52,23.29,178.66
2015-01-29-14,34.04,27.66,135.49
2015-01-29-15,46.44,43.14,117.34
2015-01-29-16,38.07,25.58,185.24
2015-01-29-17,19.51,0.00,161.52
2015-01-29-18,0.00,0.00,0.00
2015-01-29-19,0.00,0.00,0.00
2015-01-29-20,0.00,0.00,0.00
2015-01-29-21,0.00,0.00,0.00
2015-01-29-22,0.00,0.00,0.00
2015-01-29-23,0.00,0.00,0.00
2015-01-30-0,0.00,0.00,0.00
2015-01-30-1,0.00,0.00,0.00
2015-01-30-2,4.59,0.00,33.21
2015-01-30-3,17.65,16.68,68.41
2015-01-30-4,16.12,14.56,49.72
2015-01-30-5,17.12,15.32,182.38
2015-01-30-6,19.75,19.54,69.34
2015-01-30-9,85.08,43.66,247.42
2015-01-30-10,49.05,30.95,210.97
